gene_symbol,molecule,cell_line,half_life_hours,gamma_per_hour,half_life_rep1_hours,half_life_rep2_hours,replicate_log_ratio,anchor_weight,source
DNAJB6,RNA,K562,2.64150326451455,0.2624063312249324,2.73062938427684,2.55237714475227,0.06750698775950455,0.9347211889863344,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DNAJC1,RNA,K562,2.6800687233036,0.25863037560676205,2.7460177769101106,2.61411966969709,0.04922438662070948,0.9519674969615688,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DNAJC10,RNA,K562,8.97176489008282,0.0772587321504751,9.695145869441301,8.24838391072434,0.1616080428752052,0.8507746063649135,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DNAJC11,RNA,K562,2.85676413003481,0.2426336753785477,3.12411416178376,2.58941409828587,0.18771914153194869,0.8288474633741955,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DNAJC16,RNA,K562,0.536770828551947,1.2913279628661203,0.499546457167721,0.5739951999361729,0.13892043269758733,0.8702972729097205,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DNAJC17,RNA,K562,1.37399648802247,0.5044752199895068,1.193170630788,1.55482234525693,0.26474713214739215,0.767399976227401,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DNAJC2,RNA,K562,3.22974721029882,0.214613446634362,3.26448654176223,3.1950078788354,0.021512935217340212,0.9787168174725194,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DNAJC21,RNA,K562,3.63911107611698,0.19047156463812864,3.55666569277896,3.7215564594550106,0.04531848103303222,0.9556930632458557,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DNAJC3,RNA,K562,0.933572588076328,0.7424673661297285,1.02173009824088,0.845415077911776,0.18942492093096158,0.8274348376027418,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DNAJC5,RNA,K562,1.51605871455551,0.4572033879064952,1.45293237180071,1.57918505731031,0.08332508779768706,0.9200520009196167,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DNAJC6,RNA,K562,0.719719318820711,0.9630798596537532,0.758544986816558,0.6808936508248629,0.1079959795044941,0.8976312053454071,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DNAJC7,RNA,K562,5.2308121318292,0.13251234475468604,5.16967115158832,5.29195311207008,0.02337830660596586,0.9768928488419796,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DNAJC8,RNA,K562,5.97052645075975,0.11609481781489173,5.82788927441382,6.11316362710568,0.04778952850646893,0.9533344156817662,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DNAJC9,RNA,K562,2.35046430989494,0.29489798149325114,2.46883558648163,2.23209303330826,0.10080689176816834,0.9041076066508119,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DNM1L,RNA,K562,4.63932431345654,0.14940692517430718,4.70997205391461,4.56867657299848,0.030458401845978884,0.9700007814698826,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DNM2,RNA,K562,2.61984298108835,0.2645758488441907,2.62618117759195,2.61350478458474,0.004838617363933498,0.9951730698874198,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DNMT1,RNA,K562,3.55075850598609,0.19521101741822053,3.36107956313006,3.74043744884212,0.10694034859722432,0.8985792729057686,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DNMT3B,RNA,K562,2.43825640043852,0.28427985688268176,2.38301593387061,2.49349686700644,0.04531920496948167,0.9556923713850631,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DNTTIP1,RNA,K562,1.07521317548319,0.6446602370255107,0.916872265934741,1.23355408503164,0.29668661485741404,0.7432769078067816,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DNTTIP2,RNA,K562,0.879987915095201,0.7876780676981883,0.922312659809952,0.837663170380451,0.09626820146731267,0.908220397357504,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DOCK11,RNA,K562,4.60357076277034,0.1505672914089894,4.78414373917139,4.42299778636928,0.07848936360605374,0.9245118933519627,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DOCK2,RNA,K562,2.95755579643501,0.23436487027411407,3.38841727875867,2.52669431411135,0.29345107976127216,0.7456857010943446,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DOCK8,RNA,K562,2.54111395612552,0.27277296198742645,2.47335061356962,2.60887729868143,0.053346219924811165,0.9480517212594447,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DOCK9,RNA,K562,0.874532380815976,0.7925917847812672,0.8969742955502739,0.852090466081678,0.051334503588874494,0.9499608520653753,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DOHH,RNA,K562,1.55986217667697,0.44436437457351613,2.03230383432465,1.08742051902929,0.6253616479448739,0.5350678873223935,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DOLPP1,RNA,K562,0.644596141317592,1.0753200897900383,0.637796535057559,0.6513957475776259,0.021098042779228426,0.9791229639268618,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DOPEY1,RNA,K562,0.628128273169358,1.103512148979571,0.7111259300203199,0.5451306163183959,0.26582410196729167,0.766573954493291,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DOT1L,RNA,K562,1.10449118610376,0.6275714910909469,1.14282480915273,1.0661575630548,0.0694419776680561,0.9329142616751821,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DPF2,RNA,K562,1.06004935852561,0.6538819867067532,0.993056415876421,1.1270423011748,0.12656457164921053,0.8811172525124251,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DPH2,RNA,K562,3.7762692959486706,0.1835534296517414,3.7111049289126905,3.84143366298464,0.03451598987435057,0.9660728921788306,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DPH3,RNA,K562,2.33777786670661,0.2964983074018191,2.16236828868885,2.51318744472436,0.15034779479708998,0.8604086787191527,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DPH5,RNA,K562,2.01052100523459,0.3447599795054457,1.89364602946508,2.12739598100409,0.11639460083934294,0.8901239103456967,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DPH7,RNA,K562,0.956323772066759,0.7248038800310802,0.840292122368351,1.07235542176517,0.24386324072876617,0.7835947907879022,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DPM1,RNA,K562,3.05179320528315,0.2271278340091966,3.22694455199519,2.8766418585711,0.11491213791164691,0.8914444646383834,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DPM2,RNA,K562,2.30960040916261,0.30011562944399506,2.16583105671358,2.45336976161164,0.12465834473246455,0.8827984638120047,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DPP8,RNA,K562,1.07893324031256,0.6424375064755119,0.965180037514012,1.1926864431111,0.21164890565657898,0.8092487703611003,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DPP9,RNA,K562,1.67641647263516,0.4134695595482827,1.62758126682368,1.72525167844664,0.058277913003485,0.9433877312839949,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DPY19L3,RNA,K562,2.01533395871285,0.34393663519799134,2.42549448925614,1.60517342816955,0.41280361101854834,0.6617922387701778,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DR1,RNA,K562,1.32442789189675,0.5233559220557262,1.26851000729779,1.38034577649571,0.08449104135564782,0.9189798881539392,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DRG1,RNA,K562,2.87343165100371,0.2412262634880576,3.26935542097189,2.47750788103554,0.27733967824926853,0.7577970462137901,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DROSHA,RNA,K562,2.81977581718785,0.24581641431736864,3.15348435202302,2.48606728235268,0.2378059277863932,0.7883556741792047,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DSC2,RNA,K562,1.27715612932855,0.5427270516443118,1.39602221697368,1.15829004168341,0.1866821033871832,0.8297074556552333,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DSCR3,RNA,K562,1.11853797736274,0.6196903409522401,1.33916947865246,0.8979064760730199,0.39973899277753266,0.6704950272437055,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DSCR4,RNA,K562,0.9017189968254488,0.7686953285892922,0.878975733596352,0.924462260054546,0.050454937512945,0.9507967729742584,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DSG2,RNA,K562,3.33646125536727,0.2077492071711905,3.69988696664484,2.9730355440897,0.2187187700530151,0.8035476680482839,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DSN1,RNA,K562,0.8312948638629059,0.8338162674781744,0.846030129097741,0.816559598628071,0.03545507000769518,0.9651660981611859,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DST,RNA,K562,1.16727722636744,0.5938153892687646,1.48063908604022,0.853915366694662,0.5503970017984373,0.5767208057287947,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DSTYK,RNA,K562,0.4333446628840039,1.599528596814597,0.4377063042132239,0.428983021554784,0.020130805789643446,0.9800704660305958,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DTL,RNA,K562,0.5004940290288789,1.384925973852028,0.5216393541816429,0.479348703876114,0.08454814113449022,0.9189274161036505,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DTNBP1,RNA,K562,1.90516356644177,0.3638255490338398,2.0405775191643,1.76974961371924,0.14239479001751992,0.8672787958793277,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DTWD1,RNA,K562,0.7394755764299509,0.9373496605612448,0.716668516713579,0.7622826361463229,0.061703986581986905,0.9401611459191259,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DTX2,RNA,K562,0.5807879603039638,1.1934599680702345,0.5905088270155249,0.571067093592403,0.03347787923449785,0.9670763034629274,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DUS1L,RNA,K562,4.28658303715716,0.16170156382171402,5.29932249218865,3.27384358212568,0.4816142786877695,0.6177853087732285,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DUS3L,RNA,K562,1.8533855933941,0.3739897315650257,1.85441824843159,1.8523529383566,0.0011143446329086892,0.9988862760185105,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DUSP16,RNA,K562,0.4297252012930469,1.6130010026739399,0.409985109411777,0.4494652931743179,0.09193779832922697,0.9121618857738386,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DUSP3,RNA,K562,1.83208395427254,0.3783381099667843,2.07492994140053,1.58923796714455,0.2666727545315211,0.76592367551063,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DUSP7,RNA,K562,0.3644155174516169,1.9020792127820787,0.3611334188995469,0.367697616003687,0.01801343325619456,0.982147838826145,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DUT,RNA,K562,4.28367170931614,0.1618114616609128,4.60173992185529,3.965603496777,0.14877642635907515,0.86176176057733,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DVL1,RNA,K562,2.38108560527567,0.2911055272536899,2.20078733522252,2.56138387532883,0.15173251274583777,0.859218079890498,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DVL3,RNA,K562,3.88947514025336,0.17821098106177732,4.38483988462933,3.3941103958774,0.25611141776086555,0.7740557204323822,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DYM,RNA,K562,2.49962559513964,0.2773004012711844,2.26637934959917,2.73287184068012,0.18716945462190246,0.8293031952186768,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DYNC1H1,RNA,K562,2.87247980330538,0.2413061981366541,3.04925913901928,2.69570046759149,0.12324057152117773,0.8840509594925726,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DYNC1I2,RNA,K562,7.16869684630627,0.09669082058018608,6.8013006226909,7.53609306992163,0.1025900253050396,0.9024968985370596,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DYNC1LI1,RNA,K562,2.43604212435525,0.284538257212363,2.27050292713189,2.60158132157862,0.13611809999908048,0.8727395558614196,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DYNC1LI2,RNA,K562,1.06006403625158,0.6538729330078357,1.02442807823882,1.09569999426435,0.06725893877863735,0.9349530743829366,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DYNLL1,RNA,K562,4.87613630470265,0.14215090334768932,4.82326400965927,4.92900859974604,0.021686993139474125,0.9785464788817332,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DYNLL2,RNA,K562,1.57982909023692,0.438748206906354,1.60355398681857,1.55610419365527,0.030037021679226,0.9704096066902993,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DYRK1A,RNA,K562,0.4405334924918479,1.5734267481893491,0.435497534650972,0.4455694503327249,0.02286399244920462,0.9773954078893161,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DYRK2,RNA,K562,0.3369272313521979,2.0572607852981237,0.388739337840728,0.285115124863668,0.3100159907469274,0.7334352279533998,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DYRK3,RNA,K562,0.589921673706,1.1749817161411666,0.591948909758155,0.5878944376538459,0.0068729260936544155,0.9931506384462039,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
E2F2,RNA,K562,0.3629803010731009,1.9095999934727912,0.376580267678648,0.349380334467553,0.07497010648883323,0.9277712202533515,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
E2F3,RNA,K562,0.423135093606444,1.6381226493225785,0.437315620373162,0.4089545668397269,0.06705111146905449,0.9351474033577064,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
E2F4,RNA,K562,1.64944015835046,0.4202317841304012,1.83458793168404,1.46429238501688,0.22544778375889402,0.7981587362088165,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
E2F6,RNA,K562,0.334634373940206,2.071356783818628,0.31599895304425,0.353269794836162,0.1114931559016744,0.8944975134112518,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
E2F7,RNA,K562,0.477958037497339,1.4502260160523073,0.4944925294337539,0.461423545560923,0.06921566850687663,0.9331254126109886,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
E2F8,RNA,K562,0.294787462162217,2.3513455269631414,0.268119270807578,0.321455653516857,0.1814276761430782,0.8340785669010421,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
E4F1,RNA,K562,0.8577974180116509,0.8080546362177681,0.8042563243942769,0.911338511629025,0.12499638090396595,0.882500096431415,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
EAF1,RNA,K562,0.3309454629182099,2.0944453338260454,0.33649854554509,0.325392380291329,0.03356204869903885,0.9669949085938239,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
EARS2,RNA,K562,2.77615335830885,0.24967899503296528,2.63000623488024,2.92230048173746,0.10538492544784418,0.8999780314571088,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
